"Cali","Valle del Cauca"
"Tulua","Valle del Cauca"
"Buga","Valle del Cauca"
"Yumbo","Valle del Cauca"
"Palmira","Valle del Cauca"
"Florida","Valle del Cauca"
"Cartago","Valle del Cauca"
"Trujillo","Valle del Cauca"
"Pasto","Nariño"
"Chachaguí","Nariño"
"Sandoná","Nariño"
"Ipiales","Nariño"
"Tumaco","Nariño"
" Ricaurte","Nariño"
"Mocoa","Putumayo"
"Puerto Asís","Putumayo"
"La Hormiga","Putumayo"
"Sibundoy","Putumayo"
"VillaGarzon","Putumayo"
"Puerto Guzman","Putumayo"
"Popayán","Cauca"
"Morales","Cauca"
"El Tambo","Cauca"
"Timbiquí","Cauca"
"Cajibío","Cauca"
"La vega","Cauca"
"Piamonte","Cauca"
"Pereira","Risaralda"
"Santa Rosa de Cabal","Risaralda"
"Mistrató","Risaralda"
"Pueblo Rico","Risaralda"
"Apía","Risaralda"
"Armenia","Quindio"
"Salento","Quindio"
"Filandia","Quindio"
"Circasia","Quindio"
"Calarcá","Quindio"
"Neiva","Huila"
"Pitalito","Huila"
"La Plata","Huila"
"Tarqui","Huila"
"Teruel","Huila"
"Nataga","Huila"
"Palermo","Huila"
"Medellín","Antioquia"
"Turbo","Antioquia"
"Zaragoza","Antioquia"
"Toledo","Antioquia"
"Ituango","Antioquia"
"Chigorodó","Antioquia"
